word,familarity,cn_meaning,meaning
quizzical,F,好奇而疑惑的,"adj. expressive of puzzlement, curiosity, or disbelief"
provincial,F,眼光狭隘的,adj. limited in outlook
insensitive,F,漠视的，不在乎的,adj. not responsive or susceptible
shackle,F,阻碍,v. to deprive of freedom especially of action by means of restrictions or handicaps
cumbersome,F,笨拙的,adj. unwieldly because of heaviness and bulk
encomium,F,赞美,n. glowing and warmly enthusiastic praise
decelerate,T,减缓,v. to decrease the rate of progress of
revitalize,F,使...复活,"v. to make active, healthy, or energetic again"
indisputable,F,不容置疑的,adj. impossible to question or doubt
roost,F,栖息,v. to settle down for rest or sleep
corroborate,F,佐证，提供证据证明,v. to support with evidence or authority
proclivity,F,倾向，偏好,n. a strong natural liking for something
hysteria,F,歇斯底里，情绪失控,"n. excessive or uncontrollable emotion, such as fear or panic"
speculate,T,推测，猜测,v. to think about something and make guesses about it
conductive,F,有益的，有帮助的,adj. tending to promote or assist
vexation,F,烦恼,n. something that worries or annoys you
disdain,F,蔑视，鄙视,v. to strongly dislike or disapprove of (someone or something)
caterwaul,F,发出难听的声音,v. to make a very loud and unpleasant sound
efficacious,F,有效果的,adj. having the power to produce a desired result or effect
alienate,F,疏远,"v. to cause (someone) to feel that she or he no longer belongs in a particular group, society, etc"
analgesic,F,止痛药,n. a drug that relieves pain
anatomize,F,解剖,v.  to cut in pieces in order to display or examine the structure and use of the parts
embargo,F,贸易禁令,n. a government order that limits trade in some way
contemplate,F,深入思考,v. to think deeply or carefully about
dogmatic,F,教条的,adj. expressing personal opinions or beliefs as if they certainly correct and cannot be doubted
concrete,T,真实的,adj. existing in reality or in real experience; perceptible by the senses; real
equitable,T,平等的，公平的,adj. just or fair
